Step,CONST1,CONST0,NXOR,XOR,OR,CIMPL,PROJX1,IMPL,PROJX2,AND,NAND,NOTX2,NIMPL,NOTX1,NCIMPL,NOR
116,0.9962,0.9999,0.4083,0.482,0.9428,0.9348,0.9974,0.5565,0.9506,0.9594,0.6377,0.9123,0.98,0.7415,0.9873,0.9289
117,0.9968,1,0.4196,0.4751,0.9418,0.9325,0.9976,0.5525,0.9531,0.9582,0.6442,0.915,0.9785,0.7322,0.9879,0.9307
118,0.9961,1,0.4106,0.4745,0.9482,0.9317,0.9978,0.5568,0.9534,0.96,0.6435,0.9142,0.9793,0.7329,0.9869,0.9275
119,0.9964,0.9999,0.4154,0.4751,0.9456,0.9327,0.9979,0.5544,0.9555,0.9575,0.6422,0.9114,0.9802,0.7405,0.9871,0.9287
120,0.9964,0.9999,0.4074,0.4777,0.9414,0.9306,0.9977,0.5733,0.9531,0.9592,0.6489,0.916,0.9795,0.7288,0.9864,0.9288
121,0.9964,1,0.411,0.4763,0.9393,0.9375,0.9969,0.5532,0.9508,0.9591,0.6563,0.9087,0.9843,0.7301,0.9878,0.925
122,0.9963,1,0.4134,0.4687,0.9454,0.9331,0.998,0.5524,0.9491,0.959,0.6517,0.912,0.9814,0.7404,0.9861,0.9304
123,0.9957,1,0.4057,0.4755,0.9462,0.9343,0.9978,0.553,0.9473,0.9595,0.6525,0.9087,0.9839,0.7406,0.9854,0.9277
124,0.9944,1,0.4077,0.4732,0.9428,0.9336,0.9987,0.5498,0.9492,0.9593,0.6519,0.9183,0.9847,0.7385,0.9881,0.931
125,0.9964,1,0.4022,0.4727,0.9429,0.9348,0.9985,0.5551,0.9493,0.9568,0.6644,0.9058,0.9839,0.7397,0.9876,0.9307
126,0.9965,1,0.405,0.4821,0.9432,0.9332,0.9976,0.5614,0.9495,0.9599,0.6571,0.9153,0.9845,0.7481,0.9874,0.9272
127,0.9967,1,0.407,0.4777,0.9463,0.9311,0.9976,0.5509,0.9518,0.9598,0.6669,0.9116,0.9848,0.7514,0.9878,0.9312
128,0.9961,1,0.4048,0.4726,0.9436,0.9336,0.9972,0.5566,0.9485,0.9595,0.6602,0.9046,0.9845,0.7448,0.9869,0.93
129,0.9958,1,0.4094,0.4761,0.9455,0.9308,0.998,0.5576,0.9494,0.9599,0.6606,0.9145,0.9848,0.7526,0.9875,0.9268
130,0.9963,1,0.4068,0.4794,0.9462,0.9323,0.9981,0.5565,0.9491,0.9597,0.6538,0.9079,0.9866,0.7459,0.9872,0.925
131,0.9969,1,0.4083,0.483,0.942,0.9362,0.9982,0.558,0.9507,0.9576,0.6581,0.9104,0.9863,0.7572,0.9878,0.9275
132,0.9966,1,0.4105,0.4734,0.9467,0.9349,0.9976,0.5461,0.9476,0.9569,0.6529,0.9139,0.9854,0.7578,0.9887,0.9256
133,0.9965,0.9999,0.4047,0.4742,0.9462,0.9339,0.998,0.5593,0.9481,0.9596,0.6664,0.9089,0.9874,0.757,0.9876,0.9315
134,0.9962,1,0.4085,0.4725,0.9491,0.9322,0.998,0.5595,0.9459,0.9572,0.668,0.9152,0.9856,0.7558,0.9846,0.9296
135,0.9963,0.9999,0.4025,0.4772,0.9429,0.9306,0.9984,0.5499,0.9486,0.9573,0.6584,0.9042,0.988,0.7535,0.9879,0.9232
136,0.9968,1,0.4039,0.4661,0.9461,0.9331,0.9983,0.5498,0.9464,0.9565,0.6698,0.9103,0.9868,0.764,0.9879,0.9236
137,0.9963,0.9999,0.4052,0.471,0.9463,0.9298,0.998,0.5552,0.949,0.9575,0.6656,0.9105,0.9884,0.7602,0.9877,0.9257
138,0.9964,1,0.3973,0.4831,0.9447,0.9312,0.9984,0.5467,0.9482,0.9547,0.662,0.9133,0.9865,0.7672,0.9889,0.9293
139,0.997,1,0.4096,0.4703,0.9488,0.9341,0.9983,0.5411,0.9485,0.9541,0.6671,0.9069,0.9869,0.7608,0.9911,0.9235
140,0.9967,1,0.4045,0.4683,0.9472,0.9289,0.9987,0.556,0.9469,0.9575,0.657,0.913,0.9879,0.7712,0.9872,0.9306
141,0.996,1,0.403,0.4813,0.9496,0.9317,0.9977,0.5577,0.9451,0.9557,0.6686,0.9125,0.9887,0.7658,0.9885,0.9268
142,0.9954,1,0.395,0.4789,0.9496,0.9316,0.9976,0.5465,0.9453,0.9543,0.6671,0.9096,0.9873,0.7695,0.9889,0.9324
143,0.9971,1,0.4047,0.464,0.9518,0.9286,0.9981,0.5462,0.9455,0.9574,0.6592,0.9074,0.9864,0.7697,0.9879,0.9248
144,0.9968,0.9999,0.4012,0.4755,0.953,0.9299,0.9983,0.548,0.9468,0.9563,0.6784,0.9142,0.986,0.7686,0.99,0.9287
145,0.9964,1,0.4015,0.4777,0.9536,0.9271,0.998,0.5535,0.9492,0.9562,0.6742,0.9064,0.9872,0.7672,0.9895,0.9243
146,0.9954,1,0.398,0.4744,0.9527,0.931,0.9985,0.551,0.9506,0.9537,0.6693,0.9111,0.987,0.7741,0.9916,0.9267
147,0.9964,1,0.3951,0.4668,0.9524,0.9308,0.9974,0.5511,0.9484,0.956,0.6702,0.9081,0.9878,0.7751,0.9873,0.9319
148,0.9955,1,0.4042,0.4736,0.9522,0.9319,0.9975,0.5419,0.9462,0.9517,0.6738,0.9096,0.9872,0.7782,0.9889,0.9267
149,0.997,0.9999,0.3989,0.4664,0.9507,0.9338,0.998,0.5481,0.9458,0.9542,0.6839,0.9036,0.987,0.7756,0.988,0.9234
150,0.9961,1,0.4012,0.4721,0.9487,0.9297,0.9986,0.5534,0.9443,0.9536,0.6762,0.9105,0.9882,0.7748,0.9887,0.9241
151,0.9959,1,0.3999,0.4574,0.9542,0.9352,0.9984,0.5465,0.9475,0.9544,0.671,0.909,0.9879,0.773,0.9897,0.9304
152,0.9967,0.9999,0.393,0.4765,0.9504,0.9349,0.9982,0.5568,0.9453,0.9521,0.6815,0.9059,0.9849,0.7785,0.9881,0.9213
153,0.9963,1,0.3937,0.4678,0.9506,0.9274,0.9982,0.5514,0.9415,0.9511,0.6822,0.9064,0.9875,0.782,0.9883,0.9253
154,0.9962,1,0.3976,0.4761,0.9507,0.9311,0.9983,0.5492,0.944,0.9561,0.6748,0.9108,0.9885,0.7795,0.9876,0.9233
155,0.9969,1,0.394,0.4727,0.9521,0.9331,0.998,0.5549,0.943,0.9538,0.6791,0.9056,0.9877,0.7852,0.9874,0.9219
156,0.9952,0.9999,0.3999,0.4726,0.9533,0.933,0.9979,0.5498,0.9463,0.9527,0.6809,0.9071,0.9885,0.7879,0.9889,0.9235
157,0.997,0.9999,0.3976,0.4753,0.9526,0.9307,0.9982,0.5403,0.9436,0.9505,0.6813,0.908,0.9878,0.7784,0.9872,0.9279
158,0.9961,1,0.3943,0.4694,0.9542,0.9304,0.9979,0.5388,0.9458,0.954,0.6804,0.9052,0.9883,0.7859,0.9879,0.9251
159,0.9962,1,0.4092,0.4784,0.9517,0.9299,0.9987,0.5536,0.9414,0.9512,0.6883,0.9053,0.9866,0.7854,0.9865,0.9239
160,0.9962,1,0.4036,0.4766,0.9532,0.9274,0.998,0.5521,0.9429,0.9545,0.6842,0.9044,0.986,0.788,0.9886,0.9302
161,0.9964,1,0.4018,0.4639,0.9537,0.9288,0.9978,0.5409,0.9424,0.9554,0.689,0.9105,0.988,0.7838,0.9878,0.9234
162,0.9959,1,0.408,0.4781,0.9531,0.9311,0.9981,0.5392,0.9456,0.9537,0.6742,0.9086,0.9871,0.7873,0.9884,0.9278
163,0.9962,1,0.4022,0.4683,0.9538,0.9278,0.9987,0.5537,0.9409,0.9541,0.6919,0.9037,0.9889,0.7918,0.9862,0.9218
164,0.9966,1,0.4017,0.471,0.9546,0.9279,0.998,0.5386,0.9415,0.954,0.688,0.907,0.9875,0.7867,0.988,0.9241
165,0.9968,0.9999,0.4004,0.473,0.9526,0.9302,0.9974,0.5479,0.942,0.952,0.6906,0.904,0.9853,0.7975,0.9876,0.93
166,0.9969,1,0.3912,0.4738,0.9544,0.9324,0.998,0.539,0.9414,0.9503,0.6864,0.9042,0.9892,0.7905,0.9898,0.9202
167,0.996,0.9999,0.3993,0.4763,0.9558,0.9258,0.9984,0.5454,0.9413,0.9533,0.6905,0.9063,0.9854,0.7977,0.9891,0.9322
168,0.9966,1,0.3996,0.4714,0.9517,0.9269,0.9974,0.5486,0.9419,0.9545,0.682,0.9047,0.9878,0.7964,0.9895,0.9252
